Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19701.942000000003,236423.30,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,Amazon Route 53,0,475,5700.00,USD,Basic Checks Within AWS (1000)
Increased_Cost Estimate,US East (N. Virginia),VPC,Network Address Translation (NAT) Gateway,0,2336.85,28042.20,USD,Number of NAT Gateways (1)
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard - Infrequent Access,0,256,3072.00,USD,S3 Standard-IA storage (20 TB per month)
Increased_Cost Estimate,US East (N. Virginia),,S3 Glacier Deep Archive,0,10.27,123.24,USD,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (10 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (50 TB per month), DT Outbound: Not selected (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2 ,0,1957.524,23490.29,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m6g.4xlarge), Pricing strategy ( 3 Year  None upfront), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Enable monitoring (disabled)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon EC2 ,0,2759.648,33115.78,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c6gd.8xlarge), Pricing strategy ( 3 Year  None upfront), EBS DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Enable monitoring (disabled)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,9847,118164.00,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (2 TB), Provisioning IOPS (), Quantity (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (5 TB)"
Increased_Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,852.0500000000001,10224.60,USD,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudWatch,0,30,360.00,USD,Number of Metrics (includes detailed and custom metrics) (100)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
